Round,run-2_evaluation/adv_success,run-2_l2_total/mal,run-2_evaluation/test_accuracy,run-0_evaluation/adv_success,run-0_l2_total/mal,run-0_evaluation/test_accuracy,run-1_evaluation/adv_success,run-1_l2_total/mal,run-1_evaluation/test_accuracy
345,0.02985074557363987,,0.5084325671195984,0.024875622242689133,,0.507440447807312,0.03482586890459061,,0.5099206566810608
346,0.019900497049093246,,0.5109127163887024,0.014925372786819935,,0.5064483880996704,0.02985074557363987,,0.50942462682724
347,0.019900497049093246,,0.514384925365448,0.014925372786819935,,0.5099206566810608,0.019900497049093246,,0.5163690447807312
348,0.019900497049093246,,0.5148809552192688,0.03980099409818649,,0.507440447807312,0.019900497049093246,,0.5148809552192688
349,0.019900497049093246,,0.5109127163887024,0.04477611929178238,,0.5173611044883728,0.024875622242689133,,0.514384925365448
350,0.014925372786819935,,0.514384925365448,0.04477611929178238,,0.5138888955116272,0.014925372786819935,,0.5133928656578064
351,0.03482586890459061,,0.5069444179534912,0.03482586890459061,,0.5148809552192688,0.03482586890459061,,0.5064483880996704
352,0.024875622242689133,,0.5109127163887024,0.03980099409818649,,0.5109127163887024,0.049751244485378265,,0.5089285969734192
353,0.024875622242689133,,0.5148809552192688,0.014925372786819935,,0.5128968358039856,0.024875622242689133,,0.5128968358039856
354,0.024875622242689133,,0.5109127163887024,0.019900497049093246,,0.5178571343421936,0.024875622242689133,,0.514384925365448
355,0.019900497049093246,,0.5109127163887024,0.02985074557363987,,0.5109127163887024,0.014925372786819935,,0.50942462682724
356,0.024875622242689133,,0.5133928656578064,0.024875622242689133,,0.5133928656578064,0.02985074557363987,,0.5089285969734192
357,0.004975124262273312,,0.5133928656578064,0.024875622242689133,,0.5148809552192688,0.004975124262273312,,0.5133928656578064
358,0.03482586890459061,,0.511904776096344,0.014925372786819935,,0.514384925365448,0.03980099409818649,,0.511904776096344
359,0.009950248524546623,,0.511904776096344,0.024875622242689133,,0.511904776096344,0.014925372786819935,,0.514384925365448
360,0.02985074557363987,,0.514384925365448,0.05970149114727974,,0.5109127163887024,0.02985074557363987,,0.5109127163887024
361,0.004975124262273312,,0.5133928656578064,0.014925372786819935,,0.5084325671195984,0.004975124262273312,,0.50942462682724
362,0.004975124262273312,,0.514384925365448,0.02985074557363987,,0.511904776096344,0.004975124262273312,,0.5128968358039856
363,0.03980099409818649,,0.5148809552192688,0.03482586890459061,,0.5158730149269104,0.03980099409818649,,0.5158730149269104
364,0.03980099409818649,,0.5084325671195984,0.0,,0.5203372836112976,0.03980099409818649,,0.5084325671195984
365,0.024875622242689133,,0.511904776096344,0.009950248524546623,,0.5213293433189392,0.02985074557363987,,0.511904776096344
366,0.014925372786819935,,0.5109127163887024,0.049751244485378265,,0.5124008059501648,0.019900497049093246,,0.5124008059501648
367,0.014925372786819935,,0.5158730149269104,0.03482586890459061,,0.5158730149269104,0.014925372786819935,,0.5178571343421936
368,0.03980099409818649,,0.5208333134651184,0.02985074557363987,,0.5128968358039856,0.049751244485378265,,0.5203372836112976
369,0.019900497049093246,,0.5203372836112976,0.049751244485378265,,0.5084325671195984,0.014925372786819935,,0.5183531641960144
370,0.04477611929178238,,0.5173611044883728,0.03482586890459061,,0.504960298538208,0.04477611929178238,,0.5208333134651184
371,0.02985074557363987,,0.516865074634552,0.03980099409818649,,0.5133928656578064,0.02985074557363987,,0.5153769850730896
372,0.02985074557363987,,0.5069444179534912,0.03980099409818649,,0.5133928656578064,0.03482586890459061,,0.5109127163887024
373,0.0,,0.5133928656578064,0.024875622242689133,,0.511904776096344,0.004975124262273312,,0.511904776096344
374,0.024875622242689133,,0.5138888955116272,0.03980099409818649,,0.5188491940498352,0.019900497049093246,,0.5104166865348816
375,0.02985074557363987,,0.5124008059501648,0.014925372786819935,,0.5138888955116272,0.024875622242689133,,0.5133928656578064
376,0.03482586890459061,,0.5188491940498352,0.024875622242689133,,0.5173611044883728,0.03980099409818649,,0.5153769850730896
377,0.03482586890459061,,0.5148809552192688,0.03482586890459061,,0.5158730149269104,0.03482586890459061,,0.5153769850730896
378,0.019900497049093246,,0.516865074634552,0.05472636967897415,,0.5158730149269104,0.019900497049093246,,0.5173611044883728
379,0.049751244485378265,,0.5148809552192688,0.05472636967897415,,0.5178571343421936,0.049751244485378265,,0.5128968358039856
380,0.03980099409818649,,0.5084325671195984,0.02985074557363987,,0.5163690447807312,0.049751244485378265,,0.5109127163887024
381,0.04477611929178238,,0.5138888955116272,0.024875622242689133,,0.516865074634552,0.04477611929178238,,0.5138888955116272
382,0.03980099409818649,,0.5124008059501648,0.03980099409818649,,0.511904776096344,0.04477611929178238,,0.5124008059501648
