Round,quantization_det_higher_loss_evaluation/test_accuracy,quantization_lenet5_prob_4_3_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_evaluation/test_accuracy,quantization_lenet5_baseline_evaluation/test_accuracy,quantization_baseline_evaluation/test_accuracy,quantization_det_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_deterministic_evaluation/test_accuracy,quantization_lenet5_8_7_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_prob_evaluation/test_accuracy,quantization_prob_higher_loss_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_32_evaluation/test_accuracy,quantization_lenet5_det_8_7_evaluation/test_accuracy,quantization_4_evaluation/test_accuracy
14,0.20936274528503418,0.2051411271095276,0.8089951276779175,0.22933468222618103,0.8383578658103943,,0.8083823323249817,0.22983871400356293,0.7608578205108643,0.8381617665290833,0.8373774290084839,0.8081127405166626,0.15625,0.8345833420753479
15,0.20936274528503418,0.2167338728904724,0.7972303628921509,0.234375,0.8454656600952148,,0.8134803771972656,0.2353830635547638,0.770784318447113,0.8459068536758423,0.8442156910896301,0.7983578443527222,0.15625,0.8388970494270325
16,0.20936274528503418,0.23185484111309052,0.8195343017578125,0.23941531777381897,0.8519117832183838,,0.8185049295425415,0.24243952333927155,0.7273039221763611,0.8522058725357056,0.8493627309799194,0.8175489902496338,0.15625,0.8315441012382507
17,0.20936274528503418,0.234375,0.8477451205253601,0.24395161867141724,0.8581127524375916,,0.8245097994804382,0.24243952333927155,0.7935048937797546,0.8587499856948853,0.8587499856948853,0.8467646837234497,0.15625,0.8472548723220825
18,0.20936274528503418,0.23689515888690948,0.8412989974021912,0.2479838728904724,0.863308846950531,,0.8277450799942017,0.2520161271095276,0.789338231086731,0.8636274337768555,0.8593872785568237,0.8409313559532166,0.15625,0.8514460921287537
19,0.20936274528503418,0.24445565044879913,0.8289951086044312,0.25554436445236206,0.8678431510925293,,0.8322548866271973,0.25856855511665344,0.759313702583313,0.8683578372001648,0.8650000095367432,0.8252695798873901,0.15625,0.861348032951355
20,0.20936274528503418,0.2535282373428345,0.8551225662231445,0.2620967626571655,0.872083306312561,,0.8363234996795654,0.2676411271095276,0.793676495552063,0.8719362616539001,0.8723529577255249,0.848308801651001,0.15625,0.8727205991744995
21,0.20936274528503418,0.24747984111309052,0.8513235449790955,0.2636088728904724,0.8751715421676636,,0.8387010097503662,0.27217742800712585,0.8260049223899841,0.8756862878799438,0.8737009763717651,0.8470588326454163,0.15625,0.8713725209236145
22,0.20936274528503418,0.25604838132858276,0.8507108092308044,0.27066531777381897,0.879142165184021,,0.8418627381324768,0.2792338728904724,0.813308835029602,0.8787254691123962,0.8782107830047607,0.8443872332572937,0.15625,0.8548774719238281
23,0.20936274528503418,0.25806450843811035,0.8561029434204102,0.2817540466785431,0.8825490474700928,,0.8454411625862122,0.2822580635547638,0.8108088374137878,0.882132351398468,0.8803186416625977,0.8535784482955933,0.15625,0.8769117593765259
