,round,clients
110,111,"[442, 1072, 1238, 1286, 952, 912, 1011, 877, 418, 821, 1, 353, 1560, 1112, 2215, 1099, 838, 717, 932, 1079, 377, 3531, 650, 579, 963, 1746, 1408, 879, 2715, 26464]"
111,112,"[663, 527, 220, 90, 396, 1868, 469, 1397, 461, 1656, 1805, 911, 1724, 1558, 1639, 950, 133, 291, 607, 628, 633, 567, 2321, 1229, 979, 886, 320, 748, 531, 25684]"
112,113,"[898, 1429, 579, 1250, 494, 2111, 1892, 1118, 696, 357, 3524, 656, 1116, 1507, 1903, 523, 578, 644, 1014, 1232, 440, 2524, 1054, 1236, 879, 708, 493, 1097, 1430, 26371]"
113,114,"[634, 838, 983, 666, 1393, 1962, 615, 678, 783, 517, 287, 541, 910, 513, 1234, 1853, 599, 510, 884, 1242, 1440, 1862, 994, 1209, 669, 366, 64, 785, 1044, 31004]"
114,115,"[1193, 1194, 704, 1177, 285, 1219, 1837, 520, 433, 806, 604, 825, 745, 1403, 1376, 2556, 2233, 211, 988, 315, 178, 790, 53, 64, 959, 878, 122, 489, 1333, 27110]"
115,116,"[802, 2672, 1741, 1751, 765, 1061, 647, 1177, 2301, 468, 2123, 2205, 1966, 1466, 1259, 1553, 902, 1464, 961, 1737, 625, 1388, 1061, 358, 1030, 969, 959, 1845, 954, 28276]"
116,117,"[650, 1641, 678, 628, 358, 898, 1273, 528, 359, 1639, 977, 357, 476, 560, 2571, 2016, 889, 84, 2531, 989, 357, 274, 925, 764, 1655, 830, 161, 474, 2148, 26175]"
117,118,"[95, 1741, 1189, 705, 514, 3026, 924, 1172, 700, 1450, 699, 241, 212, 603, 645, 348, 274, 450, 640, 281, 663, 898, 490, 1243, 1136, 684, 1350, 784, 455, 29849]"
118,119,"[1290, 1847, 708, 1151, 2268, 1532, 2648, 2179, 1142, 1005, 2158, 736, 1849, 825, 541, 918, 751, 1151, 848, 792, 1049, 729, 778, 918, 1178, 536, 769, 695, 1001, 22014]"
119,120,"[565, 1017, 865, 1031, 2157, 1317, 1302, 1008, 1836, 912, 1429, 696, 553, 683, 1754, 2754, 417, 963, 846, 1437, 777, 1334, 954, 1075, 1222, 1190, 963, 1337, 2257, 25851]"
120,121,"[225, 710, 739, 491, 2039, 401, 840, 357, 2942, 462, 871, 636, 1226, 668, 1439, 1900, 1298, 961, 1901, 1664, 1580, 673, 2013, 983, 1616, 886, 447, 2322, 431, 29730]"
